zip,lat,lng,city,timezone
81041,37.844,-102.3839,Granada,America/Denver
81043,38.11982,-102.22312,Hartman,America/Denver
81044,37.90328,-102.93628,Hasty,America/Denver
81045,38.55956,-103.16093,Haswell,America/Denver
81046,37.29597,-104.36867,Hoehne,America/Denver
81047,38.03226,-102.19206,Holly,America/Denver
81049,37.31338,-103.36308,Kim,America/Denver
81050,37.92266,-103.51528,La Junta,America/Denver
81052,37.94242,-102.65625,Lamar,America/Denver
81054,37.88583,-103.19493,Las Animas,America/Denver
81055,37.47727,-105.06635,La Veta,America/Denver
81057,38.12525,-102.89675,McClave,America/Denver
81058,38.10727,-103.88161,Manzanola,America/Denver
81059,37.56259,-103.99322,Model,America/Denver
81062,38.29345,-103.94995,Olney Springs,America/Denver
81063,38.45232,-103.78494,Ordway,America/Denver
81064,37.24593,-102.99753,Pritchett,America/Denver
81067,38.01674,-103.72326,Rocky Ford,America/Denver
81069,37.88998,-104.88951,Rye,America/Denver
81071,38.44838,-102.2816,Sheridan Lake,America/Denver
81073,37.42414,-102.71496,Springfield,America/Denver
81076,38.32338,-103.6167,Sugar City,America/Denver
81077,38.01374,-103.60985,Swink,America/Denver
81081,37.07295,-104.14954,Trinchera,America/Denver
81082,37.20343,-104.41717,Trinidad,America/Denver
81084,37.57031,-102.41929,Two Buttes,America/Denver
81087,37.39168,-102.41277,Vilas,America/Denver
81089,37.6642,-104.66427,Walsenburg,America/Denver
81090,37.36311,-102.22434,Walsh,America/Denver
81091,37.14869,-104.97774,Weston,America/Denver
81092,38.20283,-102.86779,Wiley,America/Denver
81101,37.47197,-105.85243,Alamosa,America/Denver
81120,37.14248,-106.26715,Antonito,America/Denver
81121,37.01861,-107.42041,Arboles,America/Denver
81122,37.31839,-107.50574,Bayfield,America/Denver
81123,37.40469,-105.5659,Blanca,America/Denver
81124,37.28543,-106.10688,Capulin,America/Denver
81125,37.81745,-106.06678,Center,America/Denver
81126,37.16146,-105.34724,Chama,America/Denver
81128,37.06529,-106.65223,Chromo,America/Denver
81129,37.10495,-106.02167,Conejos,America/Denver
81130,37.7179,-107.04471,Creede,America/Denver
81131,37.87706,-105.66651,Crestone,America/Denver
81132,37.71656,-106.41009,Del Norte,America/Denver
81133,37.44964,-105.32747,Fort Garland,America/Denver
81136,37.72672,-105.85355,Hooper,America/Denver
81137,37.05555,-107.61596,Ignacio,America/Denver
81138,37.02302,-105.62737,Jaroso,America/Denver
81140,37.28692,-106.1543,La Jara,America/Denver
81141,37.16256,-105.89507,Manassa,America/Denver
81143,38.14477,-105.87112,Moffat,America/Denver
81144,37.5516,-106.14851,Monte Vista,America/Denver
81146,37.64616,-105.6776,Mosca,America/Denver
81147,37.28675,-107.08333,Pagosa Springs,America/Denver
81148,37.17183,-105.98542,Romeo,America/Denver
81149,38.1035,-106.33858,Saguache,America/Denver
81151,37.23376,-105.71506,Sanford,America/Denver
81152,37.12609,-105.39411,San Luis,America/Denver
81154,37.63473,-106.67179,South Fork,America/Denver
81155,38.26671,-106.09603,Villa Grove,America/Denver
81201,38.55129,-106.08157,Salida,America/Denver
81210,38.81898,-106.62219,Almont,America/Denver
81211,38.89548,-106.24128,Buena Vista,America/Denver
81212,38.54409,-105.42498,Canon City,America/Denver
81220,38.29861,-107.48414,Cimarron,America/Denver
81221,38.36243,-105.14238,Coal Creek,America/Denver
81222,38.35492,-105.81612,Coaldale,America/Denver
81223,38.39372,-105.6031,Cotopaxi,America/Denver
81224,38.87985,-106.90957,Crested Butte,America/Denver
81225,38.94115,-107.00664,Crested Butte,America/Denver
81226,38.32213,-105.10193,Florence,America/Denver
81227,38.54934,-106.29009,Monarch,America/Denver
81228,39.03402,-106.27723,Granite,America/Denver
81230,38.40752,-106.98372,Gunnison,America/Denver
81232,38.27535,-105.60895,Hillside,America/Denver
81233,38.49244,-105.81369,Howard,America/Denver
81235,37.99363,-107.33098,Lake City,America/Denver
81236,38.6955,-106.25424,Nathrop,America/Denver
81237,38.62842,-106.59108,Ohio City,America/Denver
81239,38.53667,-106.60825,Parlin,America/Denver
81240,38.4995,-105.03076,Penrose,America/Denver
81241,38.62675,-106.48848,Pitkin,America/Denver
81242,38.47181,-106.07288,Poncha Springs,America/Denver
81243,38.26041,-107.17654,Powderhorn,America/Denver
81244,38.36393,-105.16495,Rockvale,America/Denver
81248,38.3991,-106.47763,Sargents,America/Denver
81251,39.13482,-106.43723,Twin Lakes,America/Denver
81252,38.10891,-105.42143,Westcliffe,America/Denver
81253,38.18763,-105.07497,Wetmore,America/Denver
81301,37.51095,-107.82066,Durango,America/Denver
81303,37.12903,-107.85677,Durango,America/Denver
81320,37.70115,-108.72654,Cahone,America/Denver
81321,37.31826,-108.76267,Cortez,America/Denver
81323,37.64874,-108.27823,Dolores,America/Denver
81324,37.63734,-109.02911,Dove Creek,America/Denver
81325,37.89605,-108.72011,Egnar,America/Denver
81326,37.14635,-108.11525,Hesperus,America/Denver
81327,37.5155,-108.66488,Lewis,America/Denver
81328,37.30054,-108.3101,Mancos,America/Denver
81330,37.23484,-108.47828,Mesa Verde National Park,America/Denver
81331,37.51387,-108.86252,Pleasant View,America/Denver
81332,37.69857,-107.99292,Rico,America/Denver
81334,37.11594,-108.63674,Towaoc,America/Denver
81335,37.54381,-108.71978,Yellow Jacket,America/Denver
81401,38.51559,-107.78472,Montrose,America/Denver
81403,38.32308,-107.92816,Montrose,America/Denver
81410,38.81261,-107.97595,Austin,America/Denver
81411,38.25188,-108.97862,Bedrock,America/Denver
81413,38.97171,-107.90845,Cedaredge,America/Denver
81415,38.64027,-107.6368,Crawford,America/Denver
81416,38.66482,-108.20403,Delta,America/Denver
81418,38.90479,-108.05687,Eckert,America/Denver
81419,38.86332,-107.74872,Hotchkiss,America/Denver
81422,38.32039,-108.70843,Naturita,America/Denver
81423,38.03835,-108.45816,Norwood,America/Denver
81424,38.34098,-108.47346,Nucla,America/Denver
81425,38.49363,-108.10469,Olathe,America/Denver
81426,37.87339,-107.83191,Ophir,America/Denver
81427,37.99301,-107.64387,Ouray,America/Denver
81428,38.95928,-107.59899,Paonia,America/Denver
81429,38.34121,-108.90732,Paradox,America/Denver
81430,38.04013,-108.05764,Placerville,America/Denver
81431,38.13808,-108.51429,Redvale,America/Denver
81432,38.12494,-107.74273,Ridgway,America/Denver
81433,37.79346,-107.59448,Silverton,America/Denver
81434,38.95384,-107.35954,Somerset,America/Denver
81435,37.90014,-107.92397,Telluride,America/Denver
81501,39.07174,-108.54569,Grand Junction,America/Denver
81503,39.03094,-108.48682,Grand Junction,America/Denver
81504,39.1198,-108.49542,Grand Junction,America/Denver
81505,39.18593,-108.59997,Grand Junction,America/Denver
81506,39.15785,-108.53454,Grand Junction,America/Denver
81507,39.0079,-108.62644,Grand Junction,America/Denver
81520,39.10962,-108.43561,Clifton,America/Denver
81521,39.12529,-108.85049,Fruita,America/Denver
81522,38.66026,-108.93025,Gateway,America/Denver
81523,38.93803,-108.87362,Glade Park,America/Denver
81524,39.2842,-108.73257,Loma,America/Denver
81525,39.26984,-108.95075,Mack,America/Denver
81526,39.07741,-108.33056,Palisade,America/Denver
81527,38.75758,-108.52466,Whitewater,America/Denver
81601,39.59357,-107.32815,Glenwood Springs,America/Denver
81610,40.29418,-108.82468,Dinosaur,America/Denver
81611,39.14561,-106.74885,Aspen,America/Denver
81612,39.05048,-106.82335,Aspen,America/Denver
81615,39.21437,-106.94172,Snowmass Village,America/Denver
81620,39.61485,-106.50555,Avon,America/Denver
81621,39.37803,-106.8772,Basalt,America/Denver
81623,39.2451,-107.20921,Carbondale,America/Denver
81624,39.24611,-107.77259,Collbran,America/Denver
81625,40.70295,-107.74652,Craig,America/Denver
81630,39.45769,-108.54627,De Beque,America/Denver
81631,39.63116,-106.77136,Eagle,America/Denver
81632,39.62015,-106.61132,Edwards,America/Denver
81633,40.37644,-108.50983,Dinosaur,America/Denver
81635,39.53722,-108.06022,Parachute,America/Denver
81637,39.77162,-107.10065,Gypsum,America/Denver
81638,40.30589,-107.64205,Hamilton,America/Denver
81639,40.52636,-107.24457,Hayden,America/Denver
81640,40.69357,-108.51791,Maybell,America/Denver
81641,40.09112,-107.84699,Meeker,America/Denver
81642,39.31202,-106.58448,Meredith,America/Denver
81643,39.11968,-108.15001,Mesa,America/Denver
81645,39.47634,-106.46779,Minturn,America/Denver
81646,39.10875,-107.99199,Molina,America/Denver
81647,39.57972,-107.5364,New Castle,America/Denver
81648,39.95096,-108.78498,Rangely,America/Denver
81649,39.46433,-106.31954,Red Cliff,America/Denver
81650,39.75926,-108.11201,Rifle,America/Denver
81652,39.472,-107.67082,Silt,America/Denver
81653,40.9144,-107.2242,Slater,America/Denver
81654,39.21462,-107.02597,Snowmass,America/Denver
81655,39.7477,-106.67821,Wolcott,America/Denver
81656,39.27948,-106.78711,Woody Creek,America/Denver
81657,39.64864,-106.32608,Vail,America/Denver
82001,41.095,-104.93265,Cheyenne,America/Denver
82005,41.14631,-104.86787,Fe Warren Afb,America/Denver
82007,41.06231,-104.75591,Cheyenne,America/Denver
82009,41.38431,-104.85415,Cheyenne,America/Denver
82050,41.43517,-104.21477,Albin,America/Denver
82051,41.60053,-105.64743,Bosler,America/Denver
82052,41.12399,-105.34802,Buford,America/Denver
82053,41.24392,-104.348,Burns,America/Denver
82054,41.0647,-104.35899,Carpenter,America/Denver
82055,41.3483,-106.18191,Centennial,America/Denver
82058,42.13817,-105.63358,Garrett,America/Denver
82059,41.05681,-105.17714,Granite Canon,America/Denver
82060,41.22526,-104.51505,Hillsdale,America/Denver
82061,41.43791,-105.15495,Horse Creek,America/Denver
82063,40.87554,-105.9889,Jelm,America/Denver
82070,41.21404,-105.85037,Laramie,America/Denver
82072,41.42557,-105.55849,Laramie,America/Denver
82073,41.16408,-105.43228,Laramie,America/Denver
82081,41.52319,-104.40653,Meriden,America/Denver
